Table 1.6  Changes to census subdivisions in alphabetical order by province and territory (with 8C and 9C) - Ontario,,,,,,,,"From January 2, 2006 to January 1, 2011"
Tableau 1.6  Changements apportés aux subdivisions de recensement en ordre alphabétique par province et territoire (inclus 8C et 9C) - Ontario,,,,,,,,Du 2 janvier 2006 au 1er janvier 2011
Census subdivision,,Type,Change,,SGC code,Population 2006,Remarks,File no.
Subdivision de recensement,,Genre,Changement,,Code CGT,,Remarques,No de dossier
,,,Code,Date,,,,
,Sabaskong Bay 35D,IRI,9C,02/08/2007,35 60 063,390,,
,,,,,,,,
Sabaskong Bay 35D,,IRI,9C,02/08/2007,35 60 063,390,Part lost to - Partie donnée à,350031
,,,,,,,,
,Sioux Narrows - Nestor Falls,TP,8C,02/08/2007,35 60 008,0,,
,Sabaskong Bay 35D,IRI,9C,02/08/2007,35 60 063,390,,
,,,,,,,,
Sabaskong Bay 35D,,IRI,8C,02/08/2007,35 60 063,390,Part taken from - Partie prise de,350032
,,,,,,,,
,Sioux Narrows - Nestor Falls,TP,9C,02/08/2007,35 60 008,0,,
,Sabaskong Bay 35D,IRI,8C,02/08/2007,35 60 063,390,,
,,,,,,,,
Sachigo Lake 2,,IRI,4,02/01/2010,35 60 087,0,"Now part of (dissolution) - Maintenant partie de (dissolution) - Kenora, Unorganized, NO",350053
,,,,,,,,
,,,,,,,,
Sioux Narrows - Nestor Falls,,TP,8C,02/08/2007,35 60 008,672,Part taken from - Partie prise de,350031
,,,,,,,,
,Sabaskong Bay 35D,IRI,9C,02/08/2007,35 60 063,0,,
,Sioux Narrows - Nestor Falls,TP,8C,02/08/2007,35 60 008,672,,
,,,,,,,,
Sioux Narrows - Nestor Falls,,TP,9C,02/08/2007,35 60 008,672,Part lost to - Partie donnée à,350032
,,,,,,,,
,Sabaskong Bay 35D,IRI,8C,02/08/2007,35 60 063,0,,
,Sioux Narrows - Nestor Falls,TP,9C,02/08/2007,35 60 008,672,,
,,,,,,,,
Sioux Narrows - Nestor Falls,,TP,2C,02/01/2006,35 60 008,672,Name correction - Correction du nom - Sioux Narrows-Nestor Falls,350064
,,,,,,,,
Sioux Narrows-Nestor Falls,,TP,2C,02/01/2006,35 60 008,672,Previously - Auparavant - Sioux Narrows - Nestor Falls,350064
,,,,,,,,
Smith-Ennismore-Lakefield,,TP,6,01/01/2008,35 15 015,17027,Part annexed to - Partie annexée à,350074
,,,,,,,,
,Peterborough,CY,5,01/01/2008,35 15 014,386,,
,Smith-Ennismore-Lakefield,TP,6,01/01/2008,35 15 015,17413,,
,,,,,,,,
Smiths Falls,,T,5,01/01/2010,35 09 004,9163,Annexation of part of - Partie annexée de,350056
,,,,,,,,
,Montague,TP,6,01/01/2010,35 09 001,386,,
,Smiths Falls,T,5,01/01/2010,35 09 004,8777,,
,,,,,,,,
South-West Oxford,,TP,9C,02/01/2006,35 32 012,7589,Part lost to - Partie donnée à,350008
,,,,,,,,
,Zorra,TP,8C,02/01/2006,35 32 027,0,,
,South-West Oxford,TP,9C,02/01/2006,35 32 012,7589,,
,,,,,,,,
Southgate,,TP,9,02/01/2006,35 42 005,7072,Part lost to (revision from pop. challenge) - Partie donnée à (révision de contestation de population),350007
,,,,,,,,
,West Grey,MU,8,02/01/2006,35 42 004,95,,
,Southgate,TP,9,02/01/2006,35 42 005,7167,,
,,,,,,,,
St. Thomas,,CY,8C,02/01/2006,35 34 021,36110,Part taken from - Partie prise de,350071
,,,,,,,,
,Central Elgin,MU,9C,02/01/2006,35 34 020,0,,
,St. Thomas,CY,8C,02/01/2006,35 34 021,36110,,
,,,,,,,,
St. Thomas,,CY,5,01/01/2011,35 34 021,36110,Annexation of part of - Partie annexée de,350072
,,,,,,,,
,Central Elgin,MU,6,01/01/2011,35 34 020,0,,
,St. Thomas,CY,5,01/01/2011,35 34 021,36110,,
,,,,,,,,
St. Thomas,,CY,6,01/01/2011,35 34 021,36110,Part annexed to - Partie annexée à,350073
,,,,,,,,
,Central Elgin,MU,5,01/01/2011,35 34 020,0,,
,St. Thomas,CY,6,01/01/2011,35 34 021,36110,,
,,,,,,,,
Stratford,,CY,5,01/01/2007,35 31 011,30501,Annexation of part of - Partie annexée de,350005
,,,,,,,,
,Perth East,TP,6,01/01/2007,35 31 030,40,,
,Stratford,CY,5,01/01/2007,35 31 011,30461,,
,,,,,,,,
Stratford,,CY,5,01/01/2011,35 31 011,30516,Annexation of part of - Partie annexée de,350070
,,,,,,,,
,Perth East,TP,6,01/01/2011,35 31 030,15,,
,Stratford,CY,5,01/01/2011,35 31 011,30501,,
,,,,,,,,
Strathroy-Caradoc,,TP,8C,02/01/2006,35 39 015,19977,Part taken from - Partie prise de,350021
,,,,,,,,
,Adelaide Metcalfe,TP,9C,02/01/2006,35 39 047,0,,
,Strathroy-Caradoc,TP,8C,02/01/2006,35 39 015,19977,,
,,,,,,,,
Strathroy-Caradoc,,TP,9,02/01/2006,35 39 015,19944,Part lost to (revision from pop. challenge) - Partie donnée à (révision de contestation de population),350022
,,,,,,,,
,Adelaide Metcalfe,TP,8,02/01/2006,35 39 047,33,,
,Strathroy-Caradoc,TP,9,02/01/2006,35 39 015,19977,,
,,,,,,,,
Strathroy-Caradoc,,TP,8,02/01/2006,35 39 015,19959,Part taken from (revision from pop. challenge) - Partie prise de (révision de contestation de population),350043
,,,,,,,,
,Adelaide Metcalfe,TP,9,02/01/2006,35 39 047,15,,
,Strathroy-Caradoc,TP,8,02/01/2006,35 39 015,19944,,
,,,,,,,,
"Sudbury, Unorganized, North Part",,NO,8C,02/08/2007,35 52 093,2415,Part taken from - Partie prise de,350024
,,,,,,,,
,Mountbatten 76A,IRI,9C,02/08/2007,35 52 055,0,,
,"Sudbury, Unorganized, North Part",NO,8C,02/08/2007,35 52 093,2415,,
,,,,,,,,
"Sudbury, Unorganized, North Part",,NO,5A,02/01/2010,35 52 093,2415,Complete annexation of - Annexion complète de,350046
,,,,,,,,
,Whitefish River (Part) 4,IRI,4,02/01/2010,35 52 017,0,,
,"Sudbury, Unorganized, North Part",NO,5A,02/01/2010,35 52 093,2415,,
,,,,,,,,
"Sudbury, Unorganized, North Part",,NO,5A,02/01/2010,35 52 093,2415,Complete annexation of - Annexion complète de,350047
,,,,,,,,
,Mountbatten 76A,IRI,4,02/01/2010,35 52 055,0,,
,"Sudbury, Unorganized, North Part",NO,5A,02/01/2010,35 52 093,2415,,
,,,,,,,,
Tay Valley,,TP,6,01/01/2010,35 09 015,5634,Part annexed to - Partie annexée à,350054
,,,,,,,,
,Perth,T,5,01/01/2010,35 09 021,0,,
,Tay Valley,TP,6,01/01/2010,35 09 015,5634,,
,,,,,,,,
Temiskaming Shores,,CY,9,02/01/2006,35 54 020,10727,Part lost to (revision from pop. challenge) - Partie donnée à (révision de contestation de population),350011
,,,,,,,,
,Coleman,TP,8,02/01/2006,35 54 001,5,,
,Temiskaming Shores,CY,9,02/01/2006,35 54 020,10732,,
,,,,,,,,
Temiskaming Shores,,CY,11,02/01/2006,35 54 020,10684,Population lost to (revision) - Population donnée à (révision),350013
,,,,,,,,
,Coleman,TP,10,02/01/2006,35 54 001,43,,
,Temiskaming Shores,CY,11,02/01/2006,35 54 020,10727,,
,,,,,,,,
Temiskaming Shores,,CY,11,02/01/2006,35 54 020,10597,Population lost to (revision) - Population donnée à (révision),350014
,,,,,,,,
,"Timiskaming, Unorganized, West Part",NO,10,02/01/2006,35 54 094,87,,
,Temiskaming Shores,CY,11,02/01/2006,35 54 020,10684,,
,,,,,,,,
Temiskaming Shores,,CY,11,02/01/2006,35 54 020,10587,Population lost to (revision) - Population donnée à (révision),350017
,,,,,,,,
,Coleman,TP,10,02/01/2006,35 54 001,10,,
,Temiskaming Shores,CY,11,02/01/2006,35 54 020,10597,,
,,,,,,,,
Temiskaming Shores,,CY,10,02/01/2006,35 54 020,10592,Population taken from (revision) - Population prise de (révision),350018
,,,,,,,,
,Coleman,TP,11,02/01/2006,35 54 001,5,,
,"Timiskaming, Unorganized, West Part",NO,11,02/01/2006,35 54 094,0,,
,Temiskaming Shores,CY,10,02/01/2006,35 54 020,10587,,
,,,,,,,,
Temiskaming Shores,,CY,11,02/01/2006,35 54 020,10592,Population lost to (revision) - Population donnée à (révision),350020
,,,,,,,,
,"Timiskaming, Unorganized, West Part",NO,10,02/01/2006,35 54 094,0,,
,Temiskaming Shores,CY,11,02/01/2006,35 54 020,10592,,
,,,,,,,,
Temiskaming Shores,,CY,11,02/01/2006,35 54 020,10442,Population lost to (revision) - Population donnée à (révision),350040
,,,,,,,,
,Hudson,TP,10,02/01/2006,35 54 021,150,,
,Temiskaming Shores,CY,11,02/01/2006,35 54 020,10592,,
,,,,,,,,
The Blue Mountains,,T,2C,02/01/2006,35 42 045,6825,Previously - Auparavant - Blue Mountains,350060
,,,,,,,,
The Nation / La Nation,,M,10,02/01/2006,35 02 025,10662,Population taken from (revision) - Population prise de (révision),350042
,,,,,,,,
,Casselman,VL,11,02/01/2006,35 02 044,19,,
,The Nation / La Nation,M,10,02/01/2006,35 02 025,10643,,
,,,,,,,,
The North Shore,,TP,2C,02/01/2006,35 57 040,549,Previously - Auparavant - North Shore,350062
,,,,,,,,
Thunder Bay,,CY,8,02/08/2007,35 58 004,109160,Part taken from (revision from pop. challenge) - Partie prise de (révision de contestation de population),350035
,,,,,,,,
,Fort William 52,IRI,9,02/08/2007,35 58 003,20,,
,Thunder Bay,CY,8,02/08/2007,35 58 004,109140,,
,,,,,,,,
Thunder Bay,,CY,9C,02/08/2007,35 58 004,109160,Part lost to - Partie donnée à,350036
,,,,,,,,
,Fort William 52,IRI,8C,02/08/2007,35 58 003,0,,
,Thunder Bay,CY,9C,02/08/2007,35 58 004,109160,,
,,,,,,,,
"Timiskaming, Unorganized, West Part",,NO,10,02/01/2006,35 54 094,3297,Population taken from (revision) - Population prise de (révision),350014
,,,,,,,,
,Cobalt,T,11,02/01/2006,35 54 008,5,,
,Temiskaming Shores,CY,11,02/01/2006,35 54 020,87,,
,"Timiskaming, Unorganized, West Part",NO,10,02/01/2006,35 54 094,3205,,
,,,,,,,,
"Timiskaming, Unorganized, West Part",,NO,11,02/01/2006,35 54 094,3297,Population lost to (revision) - Population donnée à (révision),350018
,,,,,,,,
,Temiskaming Shores,CY,10,02/01/2006,35 54 020,0,,
,"Timiskaming, Unorganized, West Part",NO,11,02/01/2006,35 54 094,3297,,
,,,,,,,,
"Timiskaming, Unorganized, West Part",,NO,10,02/01/2006,35 54 094,3297,Population taken from (revision) - Population prise de (révision),350020
,,,,,,,,
,Temiskaming Shores,CY,11,02/01/2006,35 54 020,0,,
,"Timiskaming, Unorganized, West Part",NO,10,02/01/2006,35 54 094,3297,,
,,,,,,,,
Tiny,,TP,9,02/01/2006,35 43 068,10754,Part lost to (revision from pop. challenge) - Partie donnée à (révision de contestation de population),350010
,,,,,,,,
,Midland,T,8,02/01/2006,35 43 074,30,,
,Tiny,TP,9,02/01/2006,35 43 068,10784,,
,,,,,,,,
Vaughan,,CY,9C,02/01/2001,35 19 028,238866,Part lost to - Partie donnée à,350004
,,,,,,,,
,Richmond Hill,T,8C,02/01/2001,35 19 038,0,,
,Vaughan,CY,9C,02/01/2001,35 19 028,238866,,
,,,,,,,,
Wapekeka 1,,IRI,4,02/01/2010,35 60 074,0,"Now part of (dissolution) - Maintenant partie de (dissolution) - Kenora, Unorganized, NO",350052
,,,,,,,,
,,,,,,,,
Wawa,,MU,23,05/06/2007,35 57 076,3204,Previously - Auparavant - Michipicoten TP,350058
,,,,,,,,
,,,,,,,,
West Grey,,MU,8,02/01/2006,35 42 004,12288,Part taken from (revision from pop. challenge) - Partie prise de (révision de contestation de population),350007
,,,,,,,,
,Southgate,TP,9,02/01/2006,35 42 005,95,,
,West Grey,MU,8,02/01/2006,35 42 004,12193,,
,,,,,,,,
Whitefish River (Part) 4,,IRI,4,02/01/2010,35 52 017,0,"Now part of (dissolution) - Maintenant partie de (dissolution) - Sudbury, Unorganized, North Part, NO",350046
,,,,,,,,
,,,,,,,,
Woodstock,,CY,5,01/07/2006,35 32 042,35822,Annexation of part of - Partie annexée de,350001
,,,,,,,,
,East Zorra-Tavistock,TP,6,01/07/2006,35 32 038,342,,
,Woodstock,CY,5,01/07/2006,35 32 042,35480,,
,,,,,,,,
Wunnumin 2,,IRI,4,02/01/2010,35 60 072,0,"Now part of (dissolution) - Maintenant partie de (dissolution) - Kenora, Unorganized, NO",350051
,,,,,,,,
,,,,,,,,
Zhiibaahaasing 19 (Cockburn Island 19),,IRI,4,02/01/2010,35 51 035,0,"Now part of (dissolution) - Maintenant partie de (dissolution) - Cockburn Island, TP",350045
,,,,,,,,
,,,,,,,,
Zorra,,TP,8C,02/01/2006,35 32 027,8125,Part taken from - Partie prise de,350008
,,,,,,,,
,South-West Oxford,TP,9C,02/01/2006,35 32 012,0,,
,Zorra,TP,8C,02/01/2006,35 32 027,8125,,
,,,,,,,,
